"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"463","discrimination on the labour market communitybased-IPD-d9011","18-IPD-d9011","D9011","D9011","Discrimination on the labour market: communitybased","IPD",NA,"D9011","D9011","Index",4.022,"Fairness and equity","Equal treatment","Other","Discrimination on the labour market: communitybased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD185",NA,"GOV","18-IPD-d9011",NA
"464","discrimination on the labour market gender-IPD-d9012","17-IPD-d9012","D9012","D9012","Discrimination on the labour market: gender","IPD",NA,"D9012","D9012","Index",4.196,"Fairness and equity","Equal treatment","Other","Discrimination on the labour market: gender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD186",NA,"GOV","17-IPD-d9012",NA
"465","discrimination on the labour market gender-IPD-d9012","338-IPD-d9012","d9012","d9012","Discrimination on the labour market: gender","IPD",NA,"D9012","D9012","Index",4.196,"Fairness and equity","Equal treatment","Other","Discrimination on the labour market: gender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD186",NA,"GOV","338-IPD-d9012",NA
"466","dismissal procedures observed in the formal sector-IPD-d6001","39-IPD-d6001","D6001","D6001","Dismissal procedures observed in the formal sector","IPD",NA,"D6001","D6001","Index",4.02,"Fairness and equity","Social protection and labor","Other","Dismissal procedures observed in the formal sector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD193",NA,"GOV","39-IPD-d6001",NA
"467","dismissal procedures observed in the formal sector-IPD-d6001","360-IPD-d6001","d6001","d6001","Dismissal procedures observed in the formal sector","IPD",NA,"D6001","D6001","Index",4.02,"Fairness and equity","Social protection and labor","Other","Dismissal procedures observed in the formal sector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD193",NA,"GOV","360-IPD-d6001",NA
"468","dismissal procedures-IPD-d6002","660-IPD-d6002","D6002","D6002","Dismissal procedures","IPD",NA,"D6002","D6002","Index",4.04,"Fairness and equity","Social protection and labor","Other","Dismissal procedures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD192.1",NA,"GOV","660-IPD-d6002",NA
"469","dismissal procedures-IPD-d6011","716-IPD-d6011","D6011","D6011","Dismissal procedures","IPD",NA,"D6011","D6011","Index",4.04,"Fairness and equity","Social protection and labor","Other","Dismissal procedures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD192.2",NA,"GOV","716-IPD-d6011",NA
"470","disparity in labour income-IPD-d9010","340-IPD-d9010","d9010","d9010","Disparity in labour income","IPD",NA,"D9010","D9010","Index",4.106,"Fairness and equity","Equal treatment","Other","Disparity in labour income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD194",NA,"GOV","340-IPD-d9010",NA
"471","disparity in labour income-IPD-d9010","19-IPD-d9010","D9010","D9010","Disparity in labour income","IPD",NA,"D9010","D9010","Index",4.106,"Fairness and equity","Equal treatment","Other","Disparity in labour income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD194",NA,"GOV","19-IPD-d9010",NA
"472","dispersed shareownership-IPD-b7080","985-IPD-b7080","B7080","B7080","Dispersed shareownership","IPD",NA,"B7080","B7080","Index",4.621,"Public Sector Management","Financial System","Other","Dispersed shareownership",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD195",NA,"GOV","985-IPD-b7080",NA
"473","dissemination of technology innovation-IPD-c500","811-IPD-c500","C500","C500","Dissemination of technology, innovation","IPD",NA,"C500","C500","Index",4.485,"Public Sector Management","Innovation","Other","Dissemination of technology innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD196",NA,"GOV","811-IPD-c500",NA
"474","diversity of the land tenure system recognition by the state-IPD-b6040","435-IPD-b6040","b6040","b6040","Diversity of the land tenure system: recognition by the State","IPD",NA,"B6040","B6040","Index",4.03,"Private Sector Interface","Property rights and contracts","Other","Diversity of the land tenure system: recognition by the State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD198",NA,"GOV","435-IPD-b6040",NA
"475","diversity of the land tenure system recognition by the state-IPD-b6040","112-IPD-b6040","B6040","B6040","Diversity of the land tenure system: recognition by the State","IPD",NA,"B6040","B6040","Index",4.03,"Private Sector Interface","Property rights and contracts","Other","Diversity of the land tenure system: recognition by the State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD198",NA,"GOV","112-IPD-b6040",NA
"476","diversity of the land tenure system-IPD-b6030","436-IPD-b6030","b6030","b6030","Diversity of the land tenure system","IPD",NA,"B6030","B6030","Index",4.278,"Private Sector Interface","Property rights and contracts","Other","Diversity of the land tenure system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD197",NA,"GOV","436-IPD-b6030",NA
"477","diversity of the land tenure system-IPD-b6030","113-IPD-b6030","B6030","B6030","Diversity of the land tenure system","IPD",NA,"B6030","B6030","Index",4.278,"Private Sector Interface","Property rights and contracts","Other","Diversity of the land tenure system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD197",NA,"GOV","113-IPD-b6030",NA
"478","do  parents invest a great deal in their childrens education-IPD-a5150","1293-IPD-a5150","A5150","A5150","Do  parents invest a great deal in their childrens education?","IPD",NA,"A5150","A5150","Index",4.01,"Trust","Social cohesion (trust in others)","Other","Do  parents invest a great deal in their childrens education?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD199",NA,"GOV","1293-IPD-a5150",NA
"479","do any formal or informal institutions link the education system with the needs of firms on the labour market-IPD-d5010","657-IPD-d5010","D5010","D5010","Do any formal or informal institutions link the education system with the needs of firms on the labour market?","IPD",NA,"D5010","D5010","Index",4.123,"Fairness and equity","Social protection and labor","Other","Do any formal or informal institutions link the education system with the needs of firms on the labour market?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD200",NA,"GOV","657-IPD-d5010",NA
"480","do any public or private forums or think tanks exist that produce analyses reports and proposals on the major national issues-IPD-a5042","1098-IPD-a5042","A5042","A5042","Do any public or private forums or think tanks exist that produce analyses, reports and proposals on the major national issues?","IPD",NA,"A5042","A5042","Index",4.321,"Public Sector Management","Administrative and Policymaking capacity","Other","Do any public or private forums or think tanks exist that produce analyses reports and proposals on the major national issues?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD201",NA,"GOV","1098-IPD-a5042",NA
"481","do contracts between private agents tend to be oral or written-IPD-a6020","1304-IPD-a6020","A6020","A6020","Do contracts between private agents tend to be oral or written","IPD",NA,"A6020","A6020","Index",4.102,"Private Sector Interface","Property rights and contracts","Other","Do contracts between private agents tend to be oral or written",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD202",NA,"GOV","1304-IPD-a6020",NA
"482","do foreign investors encounter de facto or de jure resistance to investment in public services publicprivate partnerships concessions etc-IPD-b8011","914-IPD-b8011","B8011","B8011","Do foreign investors encounter de facto or de jure resistance to investment in public services (publicprivate partnerships, concessions, etc.)","IPD",NA,"B8011","B8011","Index",4.059,"Trust","Social cohesion (trust in others)","Other","Do foreign investors encounter de facto or de jure resistance to investment in public services (publicprivate partnerships concessions etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD203",NA,"GOV","914-IPD-b8011",NA
"483","do foreign investors encounter de facto or de jure resistance to shareholdings in private firms-IPD-b8010","913-IPD-b8010","B8010","B8010","Do foreign investors encounter de facto or de jure resistance to shareholdings in private firms?","IPD",NA,"B8010","B8010","Index",4.02,"Trust","Social cohesion (trust in others)","Other","Do foreign investors encounter de facto or de jure resistance to shareholdings in private firms?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD204",NA,"GOV","913-IPD-b8010",NA
"484","do one or more political or administrative organisations handle de facto or de jure dialogue between the main private and public stakeholders-IPD-a5000","1084-IPD-a5000","A5000","A5000","Do one or more (political or administrative) organisations handle, de facto or de jure, dialogue between the main private and public stakeholders?","IPD",NA,"A5000","A5000","Index",4.288,"Public Sector Management","Administrative and Policymaking capacity","Other","Do one or more (political or administrative) organisations handle de facto or de jure dialogue between the main private and public stakeholders?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD205",NA,"GOV","1084-IPD-a5000",NA
"485","do parents steer their children more towards the civil service or the private sector-IPD-a5151","1294-IPD-a5151","A5151","A5151","Do parents steer their children more towards the civil service or the private sector?","IPD",NA,"A5151","A5151","Index",4.077,"Trust","Trust in Government","Other","Do parents steer their children more towards the civil service or the private sector?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD206",NA,"GOV","1294-IPD-a5151",NA
"486","do pressure groups lobby against trade openness-IPD-b8003","912-IPD-b8003","B8003","B8003","Do pressure groups lobby against trade openness?","IPD",NA,"B8003","B8003","Index",4.225,"Checks and Balances","Power and influence of important actors","Other","Do pressure groups lobby against trade openness?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD207",NA,"GOV","912-IPD-b8003",NA
"487","do the authorities act on the basis of a strategic vision-IPD-a5120","1283-IPD-a5120","A5120","A5120","Do the authorities act on the basis of a strategic vision?","IPD",NA,"A5120","A5120","Index",4.87,"Public Sector Management","Administrative and Policymaking capacity","Other","Do the authorities act on the basis of a strategic vision?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD208",NA,"GOV","1283-IPD-a5120",NA
"488","do the countrys education systems bolster the reproduction of closed club elites or are they an instrument for social mobility-IPD-a9061","1365-IPD-a9061","A9061","A9061","Do the countrys education systems bolster the reproduction of ""closed club"" elites or are they an instrument for social mobility?","IPD",NA,"A9061","A9061","Index",4.967,"Checks and Balances","Power and influence of important actors","Other","Do the countrys education systems bolster the reproduction of closed club elites or are they an instrument for social mobility?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD209",NA,"GOV","1365-IPD-a9061",NA
"489","do the employers organisations strictly defend their members interests or do they have a broader vision public interest-IPD-d7022","671-IPD-d7022","D7022","D7022","Do the employers organisations strictly defend their members interests or do they have a broader vision (public interest)?","IPD",NA,"D7022","D7022","Index",4.102,"Fairness and equity","Social protection and labor","Other","Do the employers organisations strictly defend their members interests or do they have a broader vision (public interest)?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD210",NA,"GOV","671-IPD-d7022",NA
"490","do the labour representatives strictly defend their members interests or do they have a broader vision public interest-IPD-d7021","670-IPD-d7021","D7021","D7021","Do the labour representatives strictly defend their members interests or do they have a broader vision (public interest)?","IPD",NA,"D7021","D7021","Index",4.043,"Fairness and equity","Social protection and labor","Other","Do the labour representatives strictly defend their members interests or do they have a broader vision (public interest)?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD211",NA,"GOV","670-IPD-d7021",NA
"491","do the major foreign economic stakeholders influence the content of public policies-IPD-a3073","1064-IPD-a3073","A3073","A3073","Do the major foreign economic stakeholders influence the content of public policies?","IPD",NA,"A3073","A3073","Index",4.884,"Checks and Balances","Power and influence of important actors","Other","Do the major foreign economic stakeholders influence the content of public policies?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD212",NA,"GOV","1064-IPD-a3073",NA
"492","do the major national economic stakeholders lobby groups influence the content of fiscal policies-IPD-a3071","1062-IPD-a3071","A3071","A3071","Do the major national economic stakeholders (lobby groups) influence the content of fiscal policies?","IPD",NA,"A3071","A3071","Index",4.257,"Checks and Balances","Power and influence of important actors","Other","Do the major national economic stakeholders (lobby groups) influence the content of fiscal policies?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD213",NA,"GOV","1062-IPD-a3071",NA
"493","do the major national economic stakeholders lobby groups influence the content of public economic regulatory policies-IPD-a3070","1061-IPD-a3070","A3070","A3070","Do the major national economic stakeholders (lobby groups) influence the content of public economic regulatory policies?","IPD",NA,"A3070","A3070","Index",5.027,"Checks and Balances","Power and influence of important actors","Other","Do the major national economic stakeholders (lobby groups) influence the content of public economic regulatory policies?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD214",NA,"GOV","1061-IPD-a3070",NA
"494","do the major national economic stakeholders lobby groups influence the content of public land tenure policies-IPD-a3072","1063-IPD-a3072","A3072","A3072","Do the major national economic stakeholders (lobby groups) influence the content of public land tenure policies?","IPD",NA,"A3072","A3072","Index",4.925,"Checks and Balances","Power and influence of important actors","Other","Do the major national economic stakeholders (lobby groups) influence the content of public land tenure policies?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD215",NA,"GOV","1063-IPD-a3072",NA
"495","do the national authorities and local stakeholders local and regional authorities private sector ngos etc cooperate to develop and improve the effectiveness of public policies-IPD-a5062","1103-IPD-a5062","A5062","A5062","Do the national authorities and local stakeholders (local and regional authorities, private sector, NGOs, etc.) cooperate to develop and improve the effectiveness of public policies?","IPD",NA,"A5062","A5062","Index",5.08,"Public Sector Management","Administrative and Policymaking capacity","Other","Do the national authorities and local stakeholders (local and regional authorities private sector NGOs etc.) cooperate to develop and improve the effectiveness of public policies?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD216",NA,"GOV","1103-IPD-a5062",NA
"496","do the organisations that embody the interests of these major stakeholders represent all the interests of the group in question-IPD-a5040","1262-IPD-a5040","A5040","A5040","Do the organisations that embody the interests of these major stakeholders represent all the interests of the group in question?","IPD",NA,"A5040","A5040","Index",4.31,"Checks and Balances","Power and influence of important actors","Other","Do the organisations that embody the interests of these major stakeholders represent all the interests of the group in question?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD217",NA,"GOV","1262-IPD-a5040",NA
"497","do the political oversight institutions constitutional court or equivalent etc operate in compliance with the formal rules in force constitution or equivalent-IPD-a1002","997-IPD-a1002","A1002","A1002","Do the political oversight institutions (constitutional court or equivalent, etc) operate in compliance with the formal rules in force (constitution or equivalent)?","IPD",NA,"A1002","A1002","Index",4.043,"Public Sector Management","Enforcement","Other","Do the political oversight institutions (constitutional court or equivalent etc) operate in compliance with the formal rules in force (constitution or equivalent)?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD218",NA,"GOV","997-IPD-a1002",NA
