"","X.2","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","Rank_1"
"237",237,"1168-IPD-a1013",3090,"IPD",1210,"respect for law in relations between citizens and the administration-IPD-a1013","A1013","A1013","Respect for law in relations between citizens and the administration",NA,"Score","A1013","Index","Trust","Trust in Government","Other","Respect for law in relations between citizens and the administration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD768",NA,"GOV","1168-IPD-a1013","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.43
"238",238,"1169-IPD-a1014",3091,"IPD",1211,"respect for minorities ethnic religious linguistic etc-IPD-a1014","A1014","A1014","Respect for minorities (ethnic, religious, linguistic, etc)",NA,"Score","A1014","Index","Trust","Social cohesion (trust in others)","Other","Respect for minorities (ethnic religious linguistic etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD769",NA,"GOV","1169-IPD-a1014","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.44
"239",239,"117-DB-Total",123,"DB",72,"starting a business cost women % of income per capita-DB-Total","Starting a Business Cost Women % of income per capita","Total","Starting a Business Cost Women % of income per capita",NA,"Total","Total","%","Private Sector Interface","Property rights and contracts","Other","Starting a Business: Cost Women % of income per capita","4.341","Private Sector Interface","Permits and Licenses","Other","Starting a Business: Cost Women % of income per capita",NA,"4.064","Private Sector Interface","Regulation of entry and exit","Other","Starting a Business: Cost Women % of income per capita","DB86","DB86","GOV","117-DB-Total","This indicator is part of the Doing Business questionnaire, which is administered to more than 13,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.",3.167
"240",240,"117-IPD-b6011",3271,"IPD",1391,"system of norms and standards international system-IPD-b6011","B6011","B6011","System of norms and standards (international system)",NA,"Score","B6011","Index","Private Sector Interface","Corporate Governance","Other","System of norms and standards (international system)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD908",NA,"GOV","117-IPD-b6011","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.174
"241",241,"117-IPU-Number.of.women.parliamentarians",3507,"IPU",1648,"national congress unicameral-IPU-Number.of.women.parliamentarians","National Congress Unicameral","Number.of.women.parliamentarians","National Congress Unicameral",NA,"Number of women parliamentarians","Number of women parliamentarians","Value","Checks and Balances","Legislative System","Other","National Congress Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU49.2","31963","GOV","117-IPU-Number.of.women.parliamentarians","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",5.447
"242",242,"117-SGI-Total",4103,"SGI",1753,"appointment of justices-SGI-Total"," Appointment of Justices","Total","Appointment of Justices",NA,"Total","Total","Value","Checks and Balances","Judiciary System","Other","Appointment of Justices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI4","SGI4","GOV","117-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",3.01
"243",243,"1170-IPD-a151",2477,"IPD",597,"evolution of freedoms and civil society autonomy in the past 3 years-IPD-a151","A151","A151","Evolution of freedoms and civil society autonomy in the past 3 years",NA,"Score","A151","Index","Citizen Engagement","Civil Rights","Other","Evolution of freedoms and civil society autonomy in the past 3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD291",NA,"GOV","1170-IPD-a151","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.244
"244",244,"1171-IPD-a1510",2658,"IPD",778,"in the past 3 years do you consider that these freedoms and autonomy have on the whole substantially improved moderately improved remained stable deteriorated severely deteriorated-IPD-a1510","A1510","A1510","in the past 3 years, do you consider that these freedoms and autonomy have on the whole substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?",NA,"Score","A1510","Index","Citizen Engagement","Civil Rights","Other","in the past 3 years do you consider that these freedoms and autonomy have on the whole substantially improved moderately improved remained stable deteriorated severely deteriorated?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD989",NA,"GOV","1171-IPD-a1510","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.344
"245",245,"1172-IPD-a102",2251,"IPD",371,"concentration of the media-IPD-a102","A102","A102","Concentration of the media",NA,"Score","A102","Index","Citizen Engagement","Freedom of expression","Other","Concentration of the media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD128",NA,"GOV","1172-IPD-a102","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.56
"246",246,"1173-IPD-a1020",2982,"IPD",1102,"proportion of the media under de jure or de facto government control-IPD-a1020","A1020","A1020","Proportion of the media under de jure or de facto Government control",NA,"Score","A1020","Index","Citizen Engagement","Freedom of expression","Other","Proportion of the media under de jure or de facto Government control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD688",NA,"GOV","1173-IPD-a1020","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.424
"247",247,"1174-IPD-a1021",2307,"IPD",427,"degree of concentration of private media-IPD-a1021","A1021","A1021","Degree of concentration of private media",NA,"Score","A1021","Index","Citizen Engagement","Freedom of expression","Other","Degree of concentration of private media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD165",NA,"GOV","1174-IPD-a1021","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.62
"248",248,"1175-IPD-a103",2218,"IPD",338,"centralisation  decentralisation devolution of local authorities-IPD-a103","A103","A103","Centralisation decentralisation: devolution of local authorities",NA,"Score","A103","Index","Public Sector Management","Decentralization","Other","Centralisation  decentralisation: devolution of local authorities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD103",NA,"GOV","1175-IPD-a103","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.188
"249",249,"1176-IPD-a1030",2149,"IPD",269,"are the municipal authorities elected or appointed by central government-IPD-a1030","A1030","A1030","Are the municipal authorities elected or appointed by central government?",NA,"Score","A1030","Index","Public Sector Management","Decentralization","Other","Are the municipal authorities elected or appointed by central government?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD47.1",NA,"GOV","1176-IPD-a1030","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.116
"250",250,"1177-IPD-a1031",2153,"IPD",273,"are the other local authorities states in the case of federations regions provinces etc elected or appointed by central government-IPD-a1031","A1031","A1031","Are the other local authorities (States in the case of federations, Regions, Provinces, etc) elected or appointed by central government?",NA,"Score","A1031","Index","Public Sector Management","Decentralization","Other","Are the other local authorities (States in the case of federations Regions Provinces etc) elected or appointed by central government?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD50",NA,"GOV","1177-IPD-a1031","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.119
"251",251,"1178-IPD-a104",2217,"IPD",337,"centralisation  decentralisation autonomy in tax matters-IPD-a104","A104","A104","Centralisation decentralisation: autonomy in tax matters",NA,"Score","A104","Index","Public Sector Management","Tax and Customs","Other","Centralisation  decentralisation: autonomy in tax matters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD102",NA,"GOV","1178-IPD-a104","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.187
"252",252,"1179-IPD-a1040",2308,"IPD",428,"degree of municipal authorities autonomy in tax matters-IPD-a1040","A1040","A1040","Degree of municipal authorities autonomy in tax matters",NA,"Score","A1040","Index","Public Sector Management","Tax and Customs","Other","Degree of municipal authorities autonomy in tax matters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD166",NA,"GOV","1179-IPD-a1040","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.274
"253",253,"118-IPD-b6010",3273,"IPD",1393,"system of norms and standards national system-IPD-b6010","B6010","B6010","System of norms and standards (national system)",NA,"Score","B6010","Index","Private Sector Interface","Corporate Governance","Other","System of norms and standards (national system)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD909.2",NA,"GOV","118-IPD-b6010","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data. [Questionnaire with five options: 0 (minimum score) to 4 (maximum score)]",3.176
