"","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","n_Countries","n_years","min_year","max_year"
"981","32-IPD-d7001",3133,"IPD",1253,"scale of strike movements private sector-IPD-d7001","D7001","D7001","Scale of strike movements: private sector",NA,"D7001","D7001","Index",4.15,"Fairness and equity","Social protection and labor","Other","Scale of strike movements: private sector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD803",NA,"GOV","32-IPD-d7001","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"982","32-IPU-Number.of.seats",3569,"IPU",1713,"the estonian parliament unicameral-IPU-Number.of.seats","The Estonian Parliament Unicameral","Number.of.seats","The Estonian Parliament Unicameral",NA,"Number of seats","Number of seats","Value",5.011,"Checks and Balances","Legislative System","Other","The Estonian Parliament Unicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU72.1","32040","GOV","32-IPU-Number.of.seats","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",1,1,2018,2018
"983","32-PEFA-Total",3906,"PEFA",2077,"scope and frequency of debt sustainability analysis-PEFA-Total","scope and frequency of debt sustainability analysis","Total","Scope and frequency of debt sustainability analysis",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.695,"Public Sector Management","Public Expenditure Management","Other","Scope and frequency of debt sustainability analysis (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA81","PEFA81","GOV","32-PEFA-Total","PEFA includes 31 performance indicators across the broad array of PFM activities performed by governments. The indicators are grouped under the seven pillars. Each pillar comprises a group of indicators that capture the performance of the key systems, processes, and institutions of government.",83,11,2005,2015
"984","32-SGI-Total",4180,"SGI",1830,"popular decision-making-SGI-Total"," Popular Decision-Making","Total"," Popular Decision-Making",NA,"Total","Total","Value",2.06,"Citizen Engagement","Civil Society Participation","Other","Popular DecisionMaking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGI127","SGI127","GOV","32-SGI-Total","The Sustainable Governance Indicators (SGI) draw on established survey and aggregation methods. In order to ensure the proper operationalization of the individual index components, the SGI relies on a combination of qualitative and quantitative data.",40,4,2014,2017
"985","32-WGI-Lower",4309,"WGI",1902,"voice and accountability-WGI-Lower","Voice and Accountability","Lower","Voice and Accountability",NA,"lower_bound","Lower Bound","Index Lower Bound",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability",NA,NA,"GOV","32-WGI-Lower","These aggregated indicators combine the views of a large number of enterprise, citizen and expert survey respondents in industrial and developing countries.  The WGI compile and summarize information from over 30 existing data sources that report the views and experiences of citizens, entrepreneurs, and experts in the public, private and NGO sectors from around the world, on the quality of various aspects of governance.",198,18,1996,2016
"986","32-WJP-Total",4334,"WJP",1941,"freedom of opinion and expression is effectively guaranteed-WJP-Total","4.4","Total","Freedom of opinion and expression is effectively guaranteed",NA,"Total","Total","Value",1.02,"Citizen Engagement","Freedom of expression","Other","Freedom of opinion and expression is effectively guaranteed (44)",NA,"","","","",NA,NA,"","","","","WJP31","WJP31","GOV","32-WJP-Total","The World Justice Project developed the conceptual framework summarized in the Index's 9 factors and 47 sub-factors, in consultation with academics, practitioners, and community leaders from around the world. The Index team developed a set of five questionnaires based on the Index's conceptual framework, to be administered to experts and the general public.",112,5,2013,2018
"987","322-IPD-d9081",3032,"IPD",1152,"recognition of occupational safety-IPD-d9081","d9081","d9081","Recognition of occupational safety",NA,"D9081","D9081","Index",4.06,"Fairness and equity","Social protection and labor","Other","Recognition of occupational safety",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD726",NA,"GOV","322-IPD-d9081","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"988","323-IPD-d9080",3030,"IPD",1150,"recognition of occupational health-IPD-d9080","d9080","d9080","Recognition of occupational health",NA,"D9080","D9080","Index",4.163,"Fairness and equity","Social protection and labor","Other","Recognition of occupational health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD725",NA,"GOV","323-IPD-d9080","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"989","324-IPD-d9071",3036,"IPD",1156,"redistribution mechanisms disadvantaged areas-IPD-d9071","d9071","d9071","Redistribution mechanisms: disadvantaged areas",NA,"D9071","D9071","Index",4.226,"Fairness and equity","Redistribution mechanism","Other","Redistribution mechanisms: disadvantaged areas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD728",NA,"GOV","324-IPD-d9071","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"990","325-IPD-d9070",3039,"IPD",1159,"redistribution mechanisms poorer section of the population-IPD-d9070","d9070","d9070","Redistribution mechanisms: poorer section of the population",NA,"D9070","D9070","Index",4.11,"Fairness and equity","Redistribution mechanism","Other","Redistribution mechanisms: poorer section of the population",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD729",NA,"GOV","325-IPD-d9070","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"991","327-IPD-d9061",3073,"IPD",1193,"reluctance to hire higher university graduates-IPD-d9061","d9061","d9061","Reluctance to hire higher university graduates",NA,"D9061","D9061","Index",4.079,"Fairness and equity","Social protection and labor","Other","Reluctance to hire higher university graduates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD755",NA,"GOV","327-IPD-d9061","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"992","328-IPD-d9060",3353,"IPD",1473,"unemployment rate for young university graduates-IPD-d9060","d9060","d9060","Unemployment rate for young university graduates",NA,"D9060","D9060","Index",4.009,"Fairness and equity","Social protection and labor","Other","Unemployment rate for young university graduates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD958",NA,"GOV","328-IPD-d9060","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"993","329-IPD-d9052",3122,"IPD",1242,"role of networks selection of business leaders-IPD-d9052","d9052","d9052","Role of networks: selection of business leaders",NA,"D9052","D9052","Index",5.495,"Checks and Balances","Power and influence of important actors","Other","Role of networks: selection of business leaders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD791",NA,"GOV","329-IPD-d9052","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",140,1,2012,2012
"994","33-BTI-Total",48,"BTI",18,"Equal opportunity-BTI-Total","Q10.2 ","Total","Equal opportunity",NA,"Score","Score","Index",3.03,"General Governance","Overall Governance","Other","Equal opportunity",NA,"","","","",NA,NA,NA,NA,NA,NA,"BTI35","BTI35","GOV","33-BTI-Total","The Transformation Index network of 248 experts from 129 countries assess about the extent to which a total of 17 criteria have been met for each country. Read more about the methodology in the Metadata and Resources section.",126,7,2006,2018
"995","33-ILO-Male",2081,"ILO",201,"share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)-ILO-Male","SOC_PPEN_SEX_TYP_RT","Male","Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)",NA,"Male","Male","%",4.223,"Public Sector Management","Public Expenditure Management","Other","Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILO25.2",NA,"GOV","33-ILO-Male","The International Labour Organization is the only tripartite U.N. agency. It brings together governments, employers and workers of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.",42,6,2000,2013
"996","33-IPD-d7000",3135,"IPD",1255,"scale of strike movements public sector-IPD-d7000","D7000","D7000","Scale of strike movements: public sector",NA,"D7000","D7000","Index",4.214,"Fairness and equity","Social protection and labor","Other","Scale of strike movements: public sector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPD804",NA,"GOV","33-IPD-d7000","The Institutional Profiles Database (IPD) provides an original measure of countries' institutional characteristics through composite indicators built from perception data.",145,2,2012,2016
"997","33-IPU-Number.of.seats",3476,"IPU",1614,"house of peoples representatives bicameral-IPU-Number.of.seats","House of Peoples' Representatives Bicameral","Number.of.seats","House of Peoples' Representatives Bicameral",NA,"Number of seats","Number of seats","Value",4.618,"Checks and Balances","Legislative System","Other","House of Peoples Representatives Bicameral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPU36.1","31920","GOV","33-IPU-Number.of.seats","The primary source of data is parliaments themselves. Every IPU member parliament has a correspondent who is responsible for providing information on changes and updates to the IPU Secretariat. Additional information is gathered from other sources, including national electoral commissions and the media, and is regularly cross-checked with parliament.",1,1,2018,2018
"998","33-PEFA-Total",3863,"PEFA",2034,"existence of sector strategies with multi-year costing of recurrent and investment expenditure-PEFA-Total","existence of sector strategies with multi-year costing of recurrent and investment expenditure","Total","Existence of sector strategies with multi-year costing of recurrent and investment expenditure",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.299,"Public Sector Management","Public Expenditure Management","Other","Existence of sector strategies with multi-year costing of recurrent and investment expenditure (iii)Â¥Ã‹_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA95","PEFA95","GOV","33-PEFA-Total","PEFA includes 31 performance indicators across the broad array of PFM activities performed by governments. The indicators are grouped under the seven pillars. Each pillar comprises a group of indicators that capture the performance of the key systems, processes, and institutions of government.",83,11,2005,2015
